period,current,average,efficient
2024-01-01,415,410,222
2024-02-01,424,442,232
2024-03-01,390,551,292
2024-01-01,415,410,222
2024-02-01,424,442,232
2024-03-01,390,551,292
2023-04-01,388,434,234
2023-05-01,363,489,272
2023-06-01,427,512,285
2023-07-01,408,475,265
2023-08-01,412,489,262
2023-09-01,440,498,273
2023-10-01,383,509,289
2023-11-01,390,463,252
2023-12-01,409,422,235
