period,current,average,efficient
2024-01-01,16.3,12.3,5.8
2024-02-01,17,12.6,6.2
2024-03-01,21,13.9,7
2024-01-01,16.3,12.3,5.8
2024-02-01,17,12.6,6.2
2024-03-01,21,13.9,7
2023-04-01,14.9,13.2,7
2023-05-01,18.89,14.3,7.7
2023-06-01,19,14.7,7.6
2023-07-01,13.9,14.1,8
2023-08-01,15.7,12.9,6.8
2023-09-01,19.5,15,6.7
2023-10-01,17.3,13.7,7
2023-11-01,16.89,15.6,8.1
2023-12-01,17.7,14.5,7.4
