period,current,average,efficient
2024-01-01,51,59,18
2024-02-01,72,57,18
2024-03-01,98,57,20
2024-01-01,51,59,18
2024-02-01,72,57,18
2024-03-01,98,57,20
2023-04-01,62,63,22
2023-05-01,82,66,21
2023-06-01,82,69,23
2023-07-01,78,59,19
2023-08-01,77,54,19
2023-09-01,124,65,19
2023-10-01,98,55,17
2023-11-01,77,70,24
2023-12-01,93,64,23
